station_a,station_b,distance_km
AB__-_Dlb_A2,Bad_Schwanberg,0.1108426104098884
AB__-_Dlb_A2,Sbl Dlb 1 [BSTS_ID=5924597],1.5419450251083882
Bad_Schwanberg,St.Peter_im_Sulmtal,1.3177133382841106
Schleinbach,Ulrichskirchen,2.173967590008797
Ulrichskirchen,Wolkersdorf,3.1654704719868327
Hautzendorf,Schleinbach,3.2064688390693954
AB__-_Fch_A1,Hst außer Betrieb (Fch_H2) [BSTS_ID=408],1.9551618580163697
AB__-_Fch_A1,Hst außer Betrieb (Fch_H1) [BSTS_ID=407],0.9342598917355436
Hst außer Betrieb (Fch_H2) [BSTS_ID=408],Ust_Fch_2,0.4289246840593715
Berg_im_Drautal,Greifenburg-Weiensee,4.817362934732095
Berg_im_Drautal,Dellach_im_Drautal,4.051315197961595
Greifenburg-Weiensee,Steinfeld_im_Drautal,5.3911694092791524
Abzww_Lauterach_West,Lauterach_Unterfeld,0.21932974758940355
Hard-Fuach,Lauterach_Unterfeld,1.8740970087843534
Hard-Fussach,Lauterach_Unterfeld,1.8740970087843534
Abzww_Lauterach_West,Lauterach,0.645143983697574
Abzww_Lauterach_West,Lauterach_Nordschleife,0.27514260253126854
Leogang,Leogang-Steinberge,2.1224104723053308
Leogang-Steinberge,Sbl Saa 1 [BSTS_ID=1923],1.4916850965874497
Leogang,Ust_Saa_2,0.340218778021812
Inzersdorf_Ort,Inzersdorf_Ort-Ost,1.4426228145095419
Inzersdorf_Ort,Wien_Blumental,1.6404468148538969
Inzersdorf_Ort,W.Mat.-Altmannsdorf,2.260719390313661
Inzersdorf_Ort,Sbl Hez 1DL [BSTS_ID=4758940],1.9629878383010935
Inzersdorf_Ort-Ost,Oberlaa,2.2610761285654046
Inzersdorf_Ort-Ost,Wien_Blumental,1.0276213862539822
Lavanttal_Nord,St.Paul_im_Lavanttal,1.3524232879387703
Lavanttal_Nord,St.Andra_im_Lavanttal,3.4366838625287777
Sbl Wst 12 [BSTS_ID=5998244],St.Paul_im_Lavanttal,2.933052914442886
Sbl Lav 1 [BSTS_ID=5922409],St.Paul_im_Lavanttal,2.936411564620788
Hermagor,Vellach-Khunburg,2.550306898308542
Pressegger_See,Vellach-Khunburg,2.15648421282412
Abzww_Lauterach_Nord,Lauterach,0.8578736085273114
Abzww_Lauterach_Sud,Lauterach,0.36714483179019014
Abzww_Lauterach_Nord,Lauterach_Nordschleife,0.40846743853343453
Abzww_Lauterach_Nord,Sbl Wo 1 [BSTS_ID=1400414],0.7892162373189016
Hochfilzen,Pfaffenschwendt,3.489503921144218
Hochfilzen,Sbl Saa 3 [BSTS_ID=1925],4.8831269678835225
Pfaffenschwendt,Sbl Hch 1 [BSTS_ID=795],0.19957872699327464
AB__-_Sv_A1,Herzograd,0.7857262466873324
AB__-_Sv_A1,St.Valentin,1.6451630499885828
Herzograd,Sbl Sv 1E [BSTS_ID=2156],0.9333904900868036
Linz_Hbf,Linz_Hbf_Westbrucke,0.9509949901729696
Abzww_Str_27113_West,Linz_Hbf,1.6412848025440352
Linz_Hbf,Linz_Vbf-Gleisdreieck,1.7758245116792117
Linz_Hbf,Linz_Vbf-Durchfahrgr,1.5208399801532595
Linz_Hbf,Sbl Kue 2 [BSTS_ID=5525544],1.4392439165807696
Linz_Gaumberg,Linz_Hbf_Westbrucke,1.547759694284768
Linz_Hbf_Westbrucke,Untergaumberg,0.5272334229251748
Linz_Hbf_Westbrucke,Sbl Lz 1P [BSTS_ID=5820994],1.754145189378875
Bad_Fischau,Bad_Fischau-Brunn,0.5343207854649755
Bad_Fischau-Brunn,Brunn_an_der_Schneebergbahn,1.1868448125153546
Bad_Fischau-Brunn,Sbl Nb 1P [BSTS_ID=1505],2.4987198204450602
Bad_Fischau,Feuerwerksanstalt,2.3447339375856306
Anschluss_Voest_Alpine_Linz_I,Linz_Vbf-Ost_Reihungsgr,0.5883562060640601
Linz_Vbf,Linz_Vbf-Ost_Reihungsgr,0.517119637161657
Anschluss_Voest_Alpine_Linz_I,Linz_Vbf-Ausfahrgr,0.6127724472579201
Anschluss_Voest_Alpine_Linz_I,Linz_Vbf-Gleisdreieck,1.3781440682573391
