station_a,station_b,distance_km
Lijn_220/1-Kruising_lijn_221A,Y.Leopold,0.3647099014631818
Y.Leopold,Y.Wilmarsdonkbrug,0.41343080143571653
Antwerpen-D.S.-Kongo,Y.Leopold,0.7863420972655792
Lijn_10-Rooster_C/D,Y.Aven_Ackers,1.1974045800727895
Y.Aven_Ackers,Y.Haandorp,0.4752149412702355
Y.Aven_Ackers,Y.Hazop,0.5962001009774738
Lijn_10-Rooster_C/D,Lijn_10-Rooster_G/H,1.4261650942798272
Hemiksem,Inrit_Verb.Hemiksem-Verbeke,1.9796188283156126
Hemiksem,Schelle,1.2258848026177493
Inrit_Verb.Hemiksem-Verbeke,Verb.Hoboken-Umicore,1.444985298857151
Inrit_Verb.Hemiksem-Verbeke,Verb.Hemiksem-Verbeke,0.1773194320526329
Entree_Racc.Moustier-Solvay_1,Moustier-Garage,0.54252635992993
Entree_Racc.Moustier-Solvay_1,Jemeppe-Froidmont,0.43336872071718174
Entree_Racc.Moustier-Solvay_1,Racc.Moustier-Solvay_1,0.22986814959949642
Ham-sur-Sambre,Moustier-Garage,0.25176252679639266
Moustier,Moustier-Garage,1.2370450312489885
Marche-les-Dames,Marche-les-Dames-Marchandises,0.18817191017201726
Marche-les-Dames-Marchandises,Nameche,2.48428781745079
Beez,Marche-les-Dames,2.9775915366519854
Y.Bayer,Y.Wittemolen,0.3044186873851316
Verb.Kanaaldok_B1-Bayer,Y.Bayer,2.193654031460433
Y.Bayer,Y.Lillobrug,0.3576980408079679
Verb.Evonik_Degussa_Antwerpen,Y.Wittemolen,0.8053247984639207
Y.Lillobrug,Y.Wittemolen,0.3875546683117747
Antwerpen-D.S.-Oudendijk,Y.Wittemolen,2.9352229797782536
Lavaux,Neufchateau,7.573970726974644
Libramont,Neufchateau,9.036722957816947
Lavaux,Marbehan,7.866269025145139
Y.Berliwal,Y.Lillobrug,1.9665786772927178
Lijn_11/1-Kruising_lijn_223,Y.Berliwal,0.3950669360244143
Antwerpen-Noord-Blok_G9-H9,Y.Berliwal,1.7725136514227484
Antwerpen-D.S.-Berendrecht,Y.Berliwal,1.7707416739856312
Lijn_11/1-Kruising_lijn_223,Y.Lillobrug,2.0057070654773987
Berchem-Sainte-Agathe_Sint-Agatha-Berchem,Groot-Bijgaarden,1.260082057386041
Berchem-Sainte-Agathe_Sint-Agatha-Berchem,Jette_Jette,2.780372152060436
Dilbeek,Groot-Bijgaarden,2.193134490542176
La_Louviere-Sud,Y.Saint-Vaast,1.294844420511202
La_Louviere-Sud,Y.Mariemont,1.7290527546472627
Y.La_Paix,Y.Saint-Vaast,0.9001036041362118
La_Louviere-Centre,Y.Saint-Vaast,0.9908676137390535
Antwerpen-Berchem,Y.Noord_Groenenhoek,0.35347240917725414
Groenenhoek-Wijkbundel,Y.Noord_Groenenhoek,0.14059139279377594
Y.Berchem-Stadion,Y.Noord_Groenenhoek,0.40804164106829194
Y.Noord_Groenenhoek,Y.Zuid_Groenenhoek,0.299300964744124
Antwerpen-Berchem,Y.West_Berchem,0.2770321677617104
Antwerpen-Berchem,Y.Noord_Berchem,0.35438237867369476
Antwerpen-Berchem,Y.Zuid_Groenenhoek,0.6282425164503949
Antwerpen-Berchem,Y.Berchem-Stadion,0.7612278647651153
Antwerpen-Berchem,Y.Oost_Berchem,0.34773106416351823
Antwerpen-Noord-Inrit_C1,Antwerpen-Noord-Perron_T.C.T.,1.63452307713261
Antwerpen-Noord-Inrit_C1,Antwerpen-Noord-Inrit_T.W.,1.2927255209735617
Antwerpen-Noord-Inrit_C1,Y.Muisbroek,2.2175726039000163
Antwerpen-Noord-Inrit_C1,Y.Schijn,0.2427113695670768
Antwerpen-Noord-Bundel_C1,Antwerpen-Noord-Inrit_C1,1.3935112542705
Antwerpen-Noord-Bundel_D,Antwerpen-Noord-Inrit_C1,1.4151045595101797
Antwerpen-Noord-Bundel_N,Antwerpen-Noord-Inrit_C1,1.2879273971841674
Antwerpen-Noord-Inrit_C1,Antwerpen-Noord-Uitrit_C1,1.9867076676621032
Antwerpen-Noord-Inrit_C1,Antwerpen-Noord-Uitrit_B3,0.7931791424114026
Antwerpen-Noord-Inrit_C1,Y.Ekersedijk,1.6776347813092582
Antwerpen-Noord-Perron_T.C.T.,Antwerpen-Noord-Uitrit_C1,0.35331988478130566
Y.Oost_Driehoek_Ledeberg,Y.West_Driehoek_Ledeberg,0.6625158177619328
Y.Noord_Driehoek_Ledeberg,Y.Oost_Driehoek_Ledeberg,0.5389847388324267
Merelbeke,Y.Oost_Driehoek_Ledeberg,1.0068090754708976
Merelbeke-Sas_T.W.,Y.Oost_Driehoek_Ledeberg,1.1181333616849125
Merelbeke-Centraal,Y.Oost_Driehoek_Ledeberg,0.5727182314925325
Gent-Sint-Pieters,Y.West_Driehoek_Ledeberg,2.62608769244292
Gentbrugge-Perron_C.W.,Y.West_Driehoek_Ledeberg,0.41587568915800677
Manage,Y.Bois-d'Haine,1.14204416498325
Manage,Y.Familleureux,1.383226448915461
Godarville,Manage,4.204376866189489
La_Louviere-Gare_Industrielle,Y.Bois-d'Haine,3.3144681625327777
Y.Bois-d'Haine,Y.Familleureux,0.4374232935968811
Lierde,Zottegem,5.869509918597032
Lierde,Y.Nederboelare,5.255362284990637
Balegem-Zuid,Zottegem,3.5766922414109414
Hillegem,Zottegem,3.901176594840162
Munkzwalm,Zottegem,5.863176958543228
Buda,Schaerbeek_Schaarbeek,4.268179332362142
Schaerbeek_Schaarbeek,Y.Schaerbeek-Groupe_G_Y.Schaarbeek-Groep_G,2.3636999183005725
Schaerbeek-Faisceau_M_Schaarbeek-Bundel_M,Schaerbeek_Schaarbeek,0.5377941137530051
Schaerbeek-NOS_Schaarbeek-NOS,Schaerbeek_Schaarbeek,1.026826895317288
Bruxelles-Nord-Gril_F_Brussel-Noord-Rooster_F,Schaerbeek_Schaarbeek,1.6964704147130047
Schaerbeek-Carwash_Schaarbeek-Carwash,Schaerbeek_Schaarbeek,1.0979304415558748
Schaerbeek-Gril_N_Schaarbeek-Rooster_N,Schaerbeek_Schaarbeek,1.0048380199258202
Schaerbeek_Schaarbeek,Y.Pont-de-la-Senne_Y.Zennebrug,1.1418055783400503
Bruxelles-Nord_Brussel-Noord,Schaerbeek_Schaarbeek,2.4396376077625725
Schaerbeek_Schaarbeek,Y.Josaphat_Y.Josaphat,0.8092325749692536
Haren-Sud_Haren-Zuid,Schaerbeek_Schaarbeek,2.8383110068276687
Schaerbeek_Schaarbeek,Y.Pont_Albert_Y.Albertbrug,0.6118747757531963
Buda,Vilvoorde,2.1139459257350652
Masnuy-Saint-Pierre,Neufvilles,3.518003074065526
Neufvilles,Neufvilles-Garage,0.42915823505610745
Sint-Truiden,Y.Gingelomstraat,8.549119515632361
Landen,Y.Gingelomstraat,1.7894670679862648
Alken,Sint-Truiden,11.126251151240412
Meerhout-E.C.M.,Verb.De_Bonte,2.125958451371947
Verb.De_Bonte,Verb.Exxon_Chemicals,0.7706262550112819
Racc.Yves-Gomezee-Les_Petons,Yves-Gomezee,2.3216941127957123
Walcourt,Yves-Gomezee,4.540382374200591
Philippeville,Racc.Yves-Gomezee-Les_Petons,4.605789246137834
Hasselt-Aflos_L.35/1,Y.West_Driehoek_Hasselt,0.3840267930368423
Hasselt-Afwisseling,Y.West_Driehoek_Hasselt,0.9391770400423708
Hasselt-T.W.,Y.West_Driehoek_Hasselt,0.5900777950599522
Hasselt-Rooster_S,Y.West_Driehoek_Hasselt,0.8240906351280471
Schulen-Sas,Y.West_Driehoek_Hasselt,8.393936022753138
Hasselt-Aflos_L.35/1,Y.Noord_Driehoek_Hasselt,0.6630593495428795
Kloosterheide,Y.Nazareth,1.8139009555369774
Lier,Y.Nazareth,1.9831191431265702
De_Bist,Y.Nazareth,0.947291066167666
Berlaar,Kloosterheide,3.067698233439363
Beringen-Mijn,Beverlo,1.3286193868397993
